period_days,wideband_delta_chi2,narrowband_delta_chi2
1.117999999999999972e+02,5.444327641125222605e+00,3.006374670470813859e-01
1.118499999999999943e+02,5.507906045832650754e+00,3.130590271201940666e-01
1.119000000000000057e+02,5.568808613634981697e+00,3.259353257587568886e-01
1.119500000000000028e+02,5.626952272394428967e+00,3.392738690255462930e-01
1.120000000000000000e+02,5.682266166335733004e+00,3.530822179454212728e-01
1.120499999999999972e+02,5.734693097005841622e+00,3.673679490039358231e-01
1.120999999999999943e+02,5.784190985912088578e+00,3.821386105121643006e-01
1.121500000000000057e+02,5.830734342852528229e+00,3.974016753219827280e-01
1.122000000000000028e+02,5.874315721649708166e+00,4.131644904920357408e-01
1.122500000000000000e+02,5.914947142788921752e+00,4.294342246236870775e-01
1.122999999999999972e+02,5.952661460443928299e+00,4.462178137037114967e-01
1.123499999999999943e+02,5.987513649625352485e+00,4.635219064038507142e-01
1.124000000000000057e+02,6.019581987821744917e+00,4.813528098904713559e-01
1.124500000000000028e+02,6.048969104602692326e+00,4.997164372871175098e-01
1.125000000000000000e+02,6.075802872325108517e+00,5.186182580020630706e-01
1.125499999999999972e+02,6.100237111406914714e+00,5.380632521771356869e-01
1.125999999999999943e+02,6.122452084679563811e+00,5.580558705276305043e-01
1.126500000000000057e+02,6.142654757158648948e+00,5.786000008213683099e-01
1.127000000000000028e+02,6.161078800204148109e+00,5.996989421831088185e-01
1.127500000000000000e+02,6.177984322480984503e+00,6.213553883073660300e-01
1.127999999999999972e+02,6.193657314342621234e+00,6.435714205146345623e-01
1.128499999999999943e+02,6.208408797170279492e+00,6.663485113966760576e-01
1.129000000000000057e+02,6.222573674714345415e+00,6.896875395653377927e-01
1.129500000000000028e+02,6.236509289449145399e+00,7.135888157547635169e-01
1.130000000000000000e+02,6.250593693209124169e+00,7.380521202324948904e-01
1.130499999999999972e+02,6.265223647720333133e+00,7.630767511628001598e-01
1.130999999999999943e+02,6.280812376869804758e+00,7.886615832450953878e-01
1.131500000000000057e+02,6.297787098442697129e+00,8.148051356329217843e-01
1.132000000000000028e+02,6.316586368387247852e+00,8.415056478391218509e-01
1.132500000000000000e+02,6.337657275245001109e+00,8.687611620612641916e-01
1.132999999999999972e+02,6.361452526015100695e+00,8.965696101295098641e-01
1.133499999999999943e+02,6.388427467285522354e+00,9.249289031000331729e-01
1.134000000000000057e+02,6.419037086837507289e+00,9.538370213936300246e-01
1.134500000000000028e+02,6.453733041078297816e+00,9.832921033218275930e-01
1.135000000000000000e+02,6.492960752568668781e+00,1.013292529850347456e+00
1.135499999999999972e+02,6.537156619639139521e+00,1.043837003522126050e+00
1.135999999999999943e+02,6.586745376731111712e+00,1.074924619596921316e+00
1.136500000000000057e+02,6.642137639791483750e+00,1.106554927652932729e+00
1.137000000000000028e+02,6.703727665966777494e+00,1.138727982130346428e+00
1.137500000000000000e+02,6.771891351187676378e+00,1.171444380567395527e+00
1.137999999999999972e+02,6.846984483205913463e+00,1.204705288571598754e+00
1.138499999999999943e+02,6.929341261475592262e+00,1.238512450876104953e+00
1.139000000000000057e+02,7.019273089147237243e+00,1.272868188134913536e+00
1.139500000000000028e+02,7.117067636573173317e+00,1.307775379408281147e+00
1.140000000000000000e+02,7.222988170263606733e+00,1.343237430563936741e+00
1.140499999999999972e+02,7.337273136324061085e+00,1.379258229071679498e+00
1.140999999999999943e+02,7.460135983155436357e+00,1.415842085884672752e+00
1.141500000000000057e+02,7.591765204672482170e+00,1.452993665285509106e+00
1.142000000000000028e+02,7.732324582535779811e+00,1.490717903719797066e+00
1.142500000000000000e+02,7.881953603902429606e+00,1.529019918751610252e+00
1.142999999999999972e+02,8.040768029955675189e+00,1.567904909349914000e+00
1.143499999999999943e+02,8.208860589932307050e+00,1.607378048761616718e+00
1.144000000000000057e+02,8.386301775463243402e+00,1.647444371243887984e+00
1.144500000000000028e+02,8.573140710696240063e+00,1.688108653925648461e+00
1.145000000000000000e+02,8.769406074805260687e+00,1.729375295044455862e+00
1.145499999999999972e+02,8.975107055000830059e+00,1.771248189772304915e+00
1.145999999999999943e+02,9.190234309974993465e+00,1.813730604798761137e+00
